Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
4,4,1,3,0,0,1,0,1,1,1,1,4,4,3,1,1,4,0,16,17
4,3,1,3,0,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9
2,1,3,1,0,0,0,0,0,1,1,0,4,3,3,1,1,4,6,18,18
2,2,1,2,1,1,0,0,1,1,1,0,3,1,2,1,1,5,6,10,13
3,2,1,2,0,0,1,1,0,1,1,0,4,2,2,1,1,1,0,16,18
4,4,1,1,0,1,1,1,0,1,1,0,3,3,4,2,3,5,0,8,10
4,3,1,2,0,0,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8
2,1,2,3,0,0,1,1,0,1,1,1,4,4,4,1,1,3,0,7,0
1,3,1,1,1,0,0,0,0,0,1,1,4,3,3,2,3,3,7,8,7
1,1,1,3,1,0,1,0,1,1,0,1,4,3,4,1,1,5,0,6,5
3,3,1,2,1,0,1,1,0,1,1,0,3,2,4,2,4,4,13,6,6
2,3,2,1,0,0,0,0,0,1,1,0,5,3,3,1,1,3,0,13,14
1,1,2,1,1,0,1,0,1,1,1,0,4,4,4,1,2,5,2,7,9
2,2,2,3,0,0,0,1,0,1,0,0,5,3,3,1,3,4,2,10,9
3,3,1,2,1,0,1,0,1,1,1,1,4,4,4,1,1,3,20,15,14
4,4,1,2,0,1,1,0,1,1,1,1,4,5,5,1,3,2,14,11,9
4,2,1,2,0,0,0,0,1,1,1,0,4,5,1,1,3,5,2,15,15
2,2,2,2,0,0,1,0,1,1,1,0,5,4,4,2,4,5,0,13,13
1,2,1,2,0,1,0,0,1,1,1,0,4,4,3,1,1,1,4,8,10
4,4,1,1,0,0,1,0,0,0,1,1,3,3,2,2,1,5,0,7,6
3,3,1,3,1,1,1,0,1,1,1,0,4,1,2,1,1,2,0,7,10
3,2,2,3,0,0,1,1,1,1,1,0,5,4,2,1,1,4,8,14,13
4,4,1,2,1,1,1,0,1,1,1,0,4,4,4,1,1,3,2,7,7
4,4,1,2,0,0,1,1,0,1,1,0,5,4,2,3,4,5,0,9,11
3,3,2,2,0,0,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11
2,3,1,3,0,0,1,0,0,1,1,0,4,3,3,1,2,3,4,11,10
3,3,3,2,0,1,1,0,0,1,1,0,5,3,3,1,3,2,6,7,10
3,4,1,3,1,0,1,1,0,1,1,1,4,4,3,3,4,5,28,10,9
2,2,1,1,2,0,1,1,0,1,1,0,1,2,2,1,3,5,14,6,9
4,4,2,1,0,0,0,1,1,1,1,0,3,2,4,1,4,3,22,9,9
3,4,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15
3,1,1,1,3,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8
3,2,1,1,3,0,1,0,0,0,1,1,4,5,4,1,1,4,0,5,0
1,2,1,1,0,0,0,0,0,1,0,0,2,2,2,3,3,5,8,16,12
1,2,1,2,1,0,0,0,0,1,1,0,4,5,2,2,2,4,3,13,11
4,3,1,2,0,0,1,1,0,1,1,0,4,3,2,1,1,3,2,8,8
3,4,1,3,0,0,1,1,1,1,1,0,4,3,4,2,5,5,0,11,11
4,4,1,2,0,0,1,1,0,1,1,0,4,5,2,1,2,3,0,9,9
2,3,1,4,0,0,1,1,1,1,1,1,4,5,5,1,3,2,4,15,14
4,2,2,1,1,0,0,0,0,1,0,0,5,5,5,3,4,5,6,11,11
4,3,1,2,0,0,0,1,1,1,1,1,1,3,2,1,1,1,10,11,12
4,4,1,1,0,0,1,0,1,1,1,0,5,3,3,1,1,5,4,10,13
4,4,1,2,0,0,0,1,1,1,1,0,5,4,3,3,4,2,4,8,9
4,4,2,1,0,0,0,1,0,1,1,0,4,1,1,2,2,5,0,11,11
4,4,2,2,0,0,0,1,1,1,1,0,4,3,4,2,2,4,8,12,10
2,2,2,2,0,0,0,1,1,1,1,0,5,3,3,1,3,4,4,15,15
4,3,1,2,0,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8
1,1,1,2,0,0,1,0,1,1,1,0,4,3,2,2,3,4,2,9,10
2,2,2,2,1,0,0,1,1,1,1,0,4,4,2,1,1,3,12,11,10
4,4,1,1,0,0,1,1,0,1,0,0,5,2,1,1,2,3,12,8,10
3,3,1,4,0,0,1,0,0,1,1,0,5,3,3,1,1,1,7,16,15
1,1,1,2,0,0,1,1,0,1,0,0,4,4,4,1,3,1,4,9,9
4,3,2,3,0,0,1,1,1,1,1,1,4,4,2,1,1,4,6,7,7
2,2,1,4,0,0,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14
3,2,1,1,3,0,1,0,1,1,1,0,5,5,5,2,4,5,16,6,5
3,3,1,3,0,0,1,0,1,1,1,0,5,3,3,1,1,5,2,16,18
1,2,1,1,0,0,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12
1,2,3,1,0,0,1,1,1,0,1,1,4,3,3,2,3,3,3,14,12
4,4,1,2,0,0,1,0,1,1,1,0,5,4,4,1,2,5,2,15,15
4,4,1,1,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,18,18
3,3,1,2,0,0,0,0,1,1,1,0,4,3,4,1,4,4,4,6,5
2,4,2,2,0,0,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13
1,1,2,3,0,0,0,0,0,1,1,0,5,3,2,1,1,4,0,18,16
1,1,3,1,0,0,1,0,1,1,1,1,4,3,3,1,2,4,0,8,0
4,1,2,1,0,0,0,1,1,1,1,1,4,5,4,2,4,5,30,8,8
3,4,3,2,0,0,0,0,0,1,0,0,5,4,5,2,4,5,0,10,0
4,4,1,3,0,0,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15
4,4,2,3,0,0,1,0,1,1,1,1,2,4,3,1,1,5,7,15,16
4,3,2,2,0,0,0,0,1,1,1,1,2,5,5,1,4,5,14,12,12
2,2,1,4,0,0,1,0,1,1,1,0,4,5,5,2,4,5,2,9,8
3,3,2,2,0,0,1,1,0,1,1,0,4,5,4,2,3,3,2,13,13
4,4,1,2,0,0,1,1,0,1,1,1,5,3,5,4,5,3,13,12,12
4,3,1,2,0,0,1,0,0,1,1,0,4,3,1,1,1,1,12,11,11
2,2,1,2,0,0,1,0,0,1,0,0,4,3,4,1,2,2,4,8,7
4,4,1,2,0,0,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11
3,2,2,2,2,0,0,0,1,1,0,1,3,2,2,1,1,3,4,7,7
2,2,1,1,0,0,1,1,0,1,1,0,4,2,2,1,2,5,2,12,12
4,2,1,2,0,0,1,1,0,1,0,0,4,3,3,2,2,5,2,15,15
4,4,2,1,1,0,1,0,0,1,1,0,4,2,4,2,3,2,24,18,18
3,4,1,2,0,0,1,0,0,1,1,0,2,4,3,1,2,3,12,5,5
1,1,2,2,1,0,0,0,1,0,0,0,4,4,3,2,3,5,2,13,12
3,2,2,2,0,0,0,1,0,1,1,0,4,4,4,1,3,1,2,14,15
3,3,1,2,0,0,1,0,0,1,1,1,3,3,3,1,3,3,6,8,7
4,4,4,4,0,0,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13
3,3,1,1,0,0,1,1,0,1,1,0,4,4,3,1,3,5,4,14,12
3,2,2,2,1,0,1,1,0,1,1,1,4,2,2,1,2,1,22,13,10
4,3,1,2,0,0,0,0,0,1,1,0,4,4,1,1,1,1,0,13,14
2,2,1,2,0,0,0,1,1,1,1,1,4,4,2,5,5,4,4,14,13
4,4,1,1,0,0,0,0,0,1,1,0,5,2,3,1,2,5,4,17,15
3,4,1,2,0,0,0,0,1,1,1,1,4,3,3,1,3,5,11,16,15
4,4,2,2,0,0,1,1,1,1,1,0,4,3,3,1,2,5,4,12,13
4,2,1,3,0,0,1,0,1,1,1,0,5,3,3,1,3,1,4,13,14
4,4,1,3,0,0,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11
2,1,2,1,0,0,0,0,1,1,0,0,3,3,2,1,3,3,0,8,9
4,4,1,1,0,0,1,1,0,1,1,1,1,4,2,2,2,1,5,16,15
3,2,2,1,1,0,1,0,0,1,1,0,2,5,5,5,5,5,10,11,13
4,3,2,2,0,0,0,1,1,1,1,0,4,4,4,4,4,4,4,10,9
1,1,2,2,0,1,0,0,1,1,1,0,5,4,4,1,1,4,4,8,9
1,1,4,3,0,0,0,0,0,1,1,0,4,3,2,1,2,4,2,8,8
4,4,1,2,1,1,1,0,1,1,1,1,2,4,4,1,1,4,15,9,8
2,2,1,4,0,0,0,1,1,1,1,1,3,4,1,1,1,2,0,10,9
2,2,1,3,0,0,0,0,1,1,0,1,3,4,3,1,1,3,8,13,11
1,1,1,2,3,1,0,1,0,1,1,0,4,3,2,2,3,3,10,7,8
2,1,1,1,3,0,1,0,0,1,1,0,5,4,5,1,2,5,0,5,0
3,1,2,4,0,0,1,1,0,1,0,0,3,1,2,1,1,3,6,18,18
4,2,1,2,0,0,1,1,0,1,1,0,4,3,3,1,1,5,2,11,13
4,4,2,3,0,0,0,1,0,1,1,1,4,2,2,2,2,5,0,13,13
3,3,1,2,0,0,1,1,0,1,0,0,4,3,2,1,2,5,4,6,10
3,3,1,1,0,0,0,1,0,1,1,0,5,3,4,4,4,1,6,10,13
1,1,1,2,2,1,1,0,0,1,1,1,3,3,4,2,4,5,2,8,6
3,3,1,3,0,0,1,1,0,1,1,1,4,3,3,1,3,4,0,7,7
2,1,1,2,0,0,1,1,0,1,0,1,4,3,5,1,1,5,2,8,9
3,2,1,2,0,0,1,1,0,1,1,1,4,3,2,2,3,2,0,7,8
2,1,1,2,0,0,0,0,1,1,1,0,5,2,4,1,2,4,8,15,14
4,4,1,1,0,0,1,0,0,1,1,1,5,4,3,2,4,5,8,12,12
2,1,2,2,0,0,1,1,1,1,1,0,5,3,3,1,2,1,0,8,8
4,2,1,1,0,0,0,0,0,1,1,0,3,5,2,1,1,3,10,18,19
2,2,1,2,0,0,1,0,0,1,0,1,4,2,2,1,1,3,12,11,9
1,2,1,2,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15
3,2,1,2,3,0,1,0,0,1,1,0,3,3,2,1,1,3,0,6,7
4,2,1,2,0,0,1,1,1,1,1,1,4,3,2,1,4,5,11,12,11
2,3,2,1,0,0,1,0,1,1,0,0,3,5,1,1,1,5,0,8,7
4,4,2,1,0,0,0,0,1,1,1,0,4,3,2,1,1,5,0,16,16
4,4,3,1,0,0,1,1,1,1,1,1,4,4,3,2,2,5,7,6,5
3,2,1,1,1,0,0,0,0,1,1,0,4,4,4,3,4,3,19,11,9
3,3,1,2,0,0,0,0,1,1,1,0,5,3,2,1,1,2,0,8,10
3,2,1,3,0,0,0,0,0,1,1,1,5,4,3,2,3,1,7,13,13
3,4,1,3,0,0,0,0,0,1,1,0,4,4,5,1,3,5,16,16,15
2,2,2,1,2,0,1,0,1,1,1,0,2,3,3,2,2,2,8,9,9
4,3,1,3,0,0,1,1,1,1,1,1,4,3,4,1,1,5,9,9,10
2,2,1,1,0,0,1,0,0,1,1,0,5,3,2,1,2,3,18,7,6
4,4,2,2,0,0,1,1,0,1,1,0,3,3,3,2,3,4,2,10,11
1,2,1,2,0,0,1,1,1,1,0,1,3,5,2,2,2,1,2,15,14
4,3,1,2,0,0,1,0,1,1,1,1,4,5,2,1,1,5,0,17,16
4,3,1,3,0,0,0,0,0,1,1,1,5,3,2,1,2,4,9,16,15
2,2,1,2,0,1,1,1,0,1,1,0,3,3,4,1,1,4,0,12,13
1,1,2,4,0,0,1,1,1,1,0,0,5,2,2,1,1,3,1,12,12
1,2,2,1,1,0,0,0,1,1,0,0,4,4,4,2,4,5,0,7,0
2,2,1,3,0,0,1,1,1,1,1,1,4,3,3,1,1,3,0,9,10
1,0,2,2,0,0,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15
3,1,2,4,0,0,1,0,0,1,1,0,4,4,2,2,3,3,12,16,16
1,1,3,1,1,0,1,1,0,1,1,1,5,2,1,1,2,1,0,7,6
2,2,1,1,0,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13
3,3,3,2,0,1,1,0,1,1,0,0,5,3,2,1,1,4,4,8,10
4,3,2,1,0,0,0,1,1,1,1,0,4,2,3,1,2,1,8,10,11
3,1,1,2,3,0,1,1,0,1,1,0,2,3,3,2,2,4,5,7,7
3,1,1,2,0,0,0,1,1,1,1,1,5,4,4,3,4,5,2,9,9
2,1,1,1,0,0,0,0,0,1,1,1,4,5,2,1,1,5,20,13,12
3,4,4,2,0,0,1,0,0,1,0,1,5,3,3,1,1,5,0,9,0
4,0,2,4,0,0,0,0,1,1,1,0,3,4,3,1,1,1,8,11,11
3,3,1,2,0,0,1,0,0,1,0,1,5,3,4,1,1,5,0,10,9
4,4,1,2,0,0,1,1,0,1,1,1,4,4,2,1,1,3,0,14,14
4,4,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14
2,2,2,2,0,1,1,1,0,1,1,0,4,1,3,1,3,4,2,8,9
1,1,1,3,2,0,0,0,0,1,1,1,4,1,2,1,1,3,14,15,13
2,1,1,1,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12
4,4,1,1,0,0,0,0,1,1,1,0,5,3,2,1,2,5,0,13,12
3,1,1,4,0,1,1,1,0,1,1,0,4,3,3,1,2,5,4,7,7
2,3,2,1,0,0,1,1,0,1,0,0,3,3,3,1,4,3,3,7,7
2,4,2,2,0,0,1,1,0,1,1,1,4,3,3,1,1,1,2,10,10
4,4,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14
3,2,2,2,2,1,1,0,0,1,1,1,4,4,4,1,4,3,6,5,9
2,2,1,2,0,0,1,1,0,1,1,0,5,1,5,1,1,4,0,6,7
2,1,1,2,0,0,0,1,1,1,1,1,5,3,4,1,1,2,8,8,9
2,2,1,4,0,0,0,1,0,1,1,1,5,2,3,1,3,3,0,11,11
1,1,1,2,1,1,1,0,1,1,1,0,4,4,3,1,3,3,18,12,10
1,2,1,2,1,0,0,0,1,1,0,1,4,2,4,2,2,3,0,9,9
2,3,1,2,0,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10
3,2,1,2,0,0,1,1,0,1,1,0,1,2,2,1,2,1,14,12,13
2,2,1,1,0,1,1,0,0,1,1,0,5,4,1,1,1,1,0,8,8
1,1,3,2,3,0,0,0,0,1,1,0,5,4,4,3,3,2,8,8,7
3,1,1,2,0,0,1,1,1,1,1,0,4,5,4,2,3,1,17,10,10
2,3,2,1,0,0,0,0,0,1,1,0,5,2,2,1,1,2,4,12,12
4,3,1,3,0,0,1,0,1,1,1,0,5,4,3,1,1,4,2,15,16
2,4,1,2,1,0,1,1,1,1,1,0,4,4,3,1,1,3,8,14,12
3,2,2,2,0,0,0,0,0,0,1,1,4,1,1,1,1,5,75,10,9
2,2,1,2,0,0,0,1,0,1,1,1,5,4,4,1,1,5,0,8,7
4,4,1,2,0,0,1,1,1,1,1,0,5,4,3,1,1,2,9,15,13
4,3,1,2,0,0,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15
4,3,1,4,0,0,1,1,0,1,1,0,4,3,3,1,1,3,0,14,13
1,1,2,1,0,0,1,1,0,1,0,0,4,3,2,1,4,5,6,9,9
4,4,1,3,0,0,1,0,1,1,1,0,5,3,2,1,1,5,0,13,13
2,1,1,3,1,0,0,1,1,1,1,1,4,3,4,1,3,3,4,11,12
4,4,1,1,0,0,1,1,0,1,1,0,5,4,2,1,1,5,0,12,15
4,4,1,1,0,0,0,0,1,1,1,0,5,3,4,1,2,1,6,11,14
3,3,1,2,2,0,1,1,1,1,1,0,4,3,5,3,3,5,15,9,9
1,1,1,3,0,0,1,1,0,1,1,0,4,3,3,1,1,3,6,13,12
4,3,2,4,0,1,1,0,0,1,1,0,2,2,2,1,1,3,0,7,9
3,4,1,2,0,0,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18
4,3,1,2,0,0,0,0,1,1,1,1,3,2,3,1,2,3,14,13,13
2,1,1,2,1,0,0,0,0,1,1,1,5,4,3,1,1,5,12,12,12
4,4,1,2,0,0,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13
1,1,3,1,3,0,1,0,1,1,0,0,5,2,5,1,5,4,6,9,8
4,3,1,1,0,0,0,1,1,1,1,0,4,5,5,1,3,1,4,16,17
4,2,1,4,0,0,0,0,0,1,1,0,3,3,3,1,1,3,0,10,10
3,2,1,3,0,0,0,0,1,1,0,0,5,3,2,1,1,3,1,13,12
4,2,2,1,1,0,0,1,0,1,0,0,5,4,3,4,3,3,14,6,5
2,1,2,3,0,0,0,0,1,1,1,1,3,2,3,1,2,3,10,12,10
1,1,1,1,0,0,0,0,0,1,1,0,3,2,3,3,3,5,5,8,9
2,4,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9
1,2,2,2,0,0,0,0,0,1,0,0,3,2,2,1,2,3,0,12,11
4,3,1,2,2,0,0,1,0,1,1,1,3,4,5,2,4,1,22,6,6
1,1,4,2,3,0,0,0,1,0,0,1,5,3,5,1,5,5,0,5,8
2,2,1,4,0,0,1,0,1,1,1,0,4,3,4,1,1,4,6,11,13
4,2,1,2,0,0,1,0,0,1,1,0,4,2,3,1,1,5,2,15,16
4,3,1,3,0,0,1,1,0,1,1,0,4,2,2,1,2,3,0,15,15
2,2,1,2,0,0,0,0,0,1,1,0,4,4,4,1,1,3,0,12,12
3,3,1,1,0,0,0,0,1,1,1,0,4,3,5,3,5,5,3,14,15
1,2,1,2,0,0,0,0,0,1,0,0,3,1,3,1,5,3,4,8,9
